Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Inspection Date,Decision Date,Inspection Result,Link,Charges
"PARADIS SHOP 'N SAVE","33 LUDLOW RD","HOULTON","ME",04730,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"STEAKS 'N STUFF","14 MECHANIC ST","LINCOLN","ME",04457,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WARREN UNITED NEWS","330 PA AVE W","WARREN","PA",16365,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SUNSET OUTLETS","1650 N 7TH ST","LEBANON","PA",17046,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"OVER THE RUN","HWY 24 E","LIBERTY","MS",39645,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"PARADIS SHOP'N SAVE","58 MAIN ST","MADAWASKA","ME",04756,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"PDQ","21356 KS HIGHWAY 239","PRESCOTT","KS",66767,"Yes","Yes","Cigarettes in a package","Other","04/25/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"PETRO","970  BLAKE RANCH RD","KINGMAN","AZ",86401,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WATERFORD PHARMACY","216 HIGH ST","WATERFORD","PA",16441,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"PIGGLY WIGGLY","134 MARKET PLACE","HAZLEHURST","MS",39083,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SAFEWAY","1601 N PARK DR","WINSLOW","AZ",86047,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SAFEWAY","3125  STOCKTON HILL RD","KINGMAN","AZ",86401,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SENECA SHORT STOP","503 NORTH ST","SENECA","KS",66538,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"VIC SUPPA'S SERVICE STATION","1701 PENN AVE WEST","WARREN","PA",16365,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHELL","820 HIGH STREET","HOLYOKE","MA",01040,"Yes","Yes","Cigarettes in a package","Other","04/27/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"SHELL","1182 W. BEALE ST.","KINGMAN","AZ",86401,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHELL","90 N HIPKOE DR","WINSLOW","AZ",86047,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHOP & WASH","1034 MAIN ST","WESSON","MS",39191,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHOPRITE","1031 PARADE STREET","ERIE","PA",16503,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"STOP & SMOKE TOBACCO","3010 EAST DIVISION ST.","COAL CITY","IL",60416,"No","No","N/A","N/A","04/20/2011",07/21/2011,"Warning Letter","","1140.16(c)-Use of a self-service display in a non-exempt facility"
"TAYLOR'S STATELINE TRUCKSTOP","21710 HIGHWAY 67 SOUTH","NEELYVILLE","MO",63954,"No","No","N/A","N/A","05/06/2011",07/21/2011,"Warning Letter","","1140.16(c)-Use of a self-service display in a non-exempt facility"
"STEWARTS STORE","6915 FISHER SIGEL RD","FISHER","PA",16225,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WHY NOT STOP","297  W BROADWAY","LINCOLN","ME",04457,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
